Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
475000.0,09 Aralık 2025,Opel,Meriva,1.3 CDTI Cosmo,2011.0,290.000 km,Düz,Dizel,MPV,Kahverengi,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,5 lt",54 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden
855000.0,10 Aralık 2025,Peugeot,308,1.6 e-HDi Classic Edition Plus,2016.0,208.000 km,Düz,Dizel,Hatchback/5,Beyaz,1560 cc,116 hp,Önden Çekiş,İkinci El,"3,8 lt",53 lt,Belirtilmemiş,,Sahibinden
1389000.0,08 Aralık 2025,Renault,Megane,1.3 TCe Joy Comfort,2023.0,70.500 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,Önden Çekiş,İkinci El,"5,3 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
750000.0,09 Aralık 2025,Honda,Civic,1.8 Sport,2007.0,93.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri (Gümüş),1799 cc,140 hp,Önden Çekiş,İkinci El,"6,8 lt",50 lt,Tamamı orjinal,,Sahibinden
1120000.0,08 Aralık 2025,Renault,Clio,1.0 TCe Touch,2021.0,62.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
1335000.0,28 Kasım 2025,Skoda,Scala,1.0 TSI Elite,2024.0,38.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,İkinci El,"4,8 lt",50 lt,2 boyalı,Takasa Uygun,Galeriden
369900.0,03 Aralık 2025,Renault,Clio,1.5 dCi Extreme,2008.0,300.000 km,Düz,Dizel,Sedan,Gri,1461 cc,65 hp,Önden Çekiş,İkinci El,5 lt,50 lt,3 boyalı,Takasa Uygun,Galeriden
1225000.0,06 Aralık 2025,Volkswagen,Golf,1.4 TSi Comfortline,2016.0,185.000 km,Otomatik,Benzin,Hatchback/5,Gri,1201 - 1400 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
615000.0,02 Aralık 2025,Fiat,Egea,1.4 Fire Easy,2019.0,126.000 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,İkinci El,"5,7 lt",45 lt,2 değişen,Takasa Uygun Değil,Galeriden
770000.0,08 Aralık 2025,BMW,3 Serisi,320i Premium,2005.0,228.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1995 cc,150 hp,Arkadan İtiş,İkinci El,"7,9 lt",60 lt,2 boyalı,-,Sahibinden
780000.0,06 Aralık 2025,Citroen,C-Elysee,1.6 HDi Exclusive,2016.0,108.500 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,İkinci El,"4,1 lt",48 lt,Tamamı orjinal,,Sahibinden
170000.0,09 Aralık 2025,Tofaş,Doğan,SLX,1994.0,250.000 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1581 cc,83 hp,Arkadan İtiş,İkinci El,,50 lt,Belirtilmemiş,,Sahibinden
1149000.0,08 Aralık 2025,Renault,Megane,1.3 TCe Joy,2021.0,105.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,Önden Çekiş,İkinci El,"5,3 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden
330000.0,28 Kasım 2025,Alfa Romeo,147,1.6 TS Distinctive,2005.0,212.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden
1099900.0,06 Aralık 2025,Renault,Megane,1.5 dCi Touch,2018.0,168.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,7 lt",47 lt,Belirtilmemiş,Takasa Uygun,Galeriden
925000.0,30 Kasım 2025,Mini,Cooper,1.6,2012.0,175.000 km,Otomatik,Benzin,Hatchback/3,Beyaz,1598 cc,122 hp,Önden Çekiş,İkinci El,"6,7 lt",40 lt,7 boyalı,Takasa Uygun,Galeriden
1325000.0,09 Aralık 2025,Hyundai,i20,1.4 MPI Style,2022.0,23.000 km,Otomatik,Benzin,Hatchback/5,Füme,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,1 lt",40 lt,Belirtilmemiş,Takasa Uygun,Sahibinden
