Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
830.000 TL,10 Aralık 2025,Renault,Clio,1.0 SCe Joy,2022.0,36.820 km,Düz,Benzin,Hatchback/5,Beyaz,999 cc,65 hp,Önden Çekiş,İkinci El,"4,9 lt",42 lt,Tamamı orjinal,,Sahibinden
745.000 TL,05 Aralık 2025,Volkswagen,Jetta,1.6 TDi Comfortline,2011.0,325.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"4,5 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden
1.299.000 TL,06 Aralık 2025,Ford,Focus,1.5 TDCi Titanium,2020.0,96.500 km,Otomatik,Dizel,Sedan,Mavi,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun Değil,Galeriden
1.210.000 TL,09 Aralık 2025,Opel,Corsa,1.2 Turbo Ultimate,2021.0,58.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1199 cc,130 hp,Önden Çekiş,İkinci El,"4,5 lt",44 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden
1.595.000 TL,30 Kasım 2025,Renault,Megane,1.3 TCe Touch,2025.0,18.750 km,Yarı Otomatik,Benzin,Sedan,Gri (titanyum),1332 cc,140 hp,Önden Çekiş,İkinci El,"5,3 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden
695.000 TL,10 Aralık 2025,Fiat,Egea,1.3 Multijet Easy,2017.0,187.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",45 lt,6 boyalı,,Sahibinden
1.380.000 TL,07 Aralık 2025,Volkswagen,Passat,2.0 TDi BlueMotion Comfortline,2015.0,275.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1968 cc,150 hp,Önden Çekiş,İkinci El,"4,4 lt",66 lt,2 boyalı,,Sahibinden
1.150.000 TL,09 Aralık 2025,Volvo,V60,1.6 T4 Advance,2011.0,154.000 km,Yarı Otomatik,Benzin,Station wagon,Beyaz,1595 cc,180 hp,Önden Çekiş,İkinci El,"7,6 lt",67 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
860.000 TL,09 Aralık 2025,Renault,Megane,1.2 TCe Touchrome,2017.0,104.000 km,Düz,Benzin,Hatchback/5,Beyaz,1197 cc,130 hp,Önden Çekiş,İkinci El,"5,4 lt",47 lt,"2 değişen, 3 boyalı",,Sahibinden
785.000 TL,06 Aralık 2025,Ford,Focus,1.6 Ti-VCT Trend X,2013.0,218.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1596 cc,125 hp,Önden Çekiş,İkinci El,6 lt,55 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden
680.000 TL,10 Aralık 2025,Toyota,Corolla,1.4 D-4D Elegant,2012.0,285.000 km,Düz,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,"1 değişen, 1 boyalı",,Sahibinden
480.000 TL,09 Aralık 2025,Ford,Focus,1.6 TDCi Trend,2005.0,248.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,110 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,Belirtilmemiş,,Sahibinden
