Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
870.000 TL,09 Aralık 2025,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2018.0,210.000 km,Düz,Dizel,Sedan,Beyaz,1582 cc,136 hp,Önden Çekiş,İkinci El,"4,5 lt",43 lt,Tamamı orjinal,Takasa Uygun,Galeriden
725.000 TL,10 Aralık 2025,Fiat,Egea,1.4 Fire Urban,2016.0,147.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,İkinci El,"5,7 lt",45 lt,Tamamı orjinal,,Sahibinden
1.235.000 TL,04 Aralık 2025,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2014.0,118.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden
695.000 TL,06 Aralık 2025,Toyota,Corolla,1.4 D-4D Advance,2015.0,305.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden
590.000 TL,09 Aralık 2025,Opel,Astra,1.6 Enjoy,2003.0,159.750 km,Otomatik,LPG & Benzin,Hatchback/5,Gri (metalik),1598 cc,100 hp,Önden Çekiş,İkinci El,"7,7 lt",52 lt,1 boyalı,,Sahibinden
725.000 TL,05 Aralık 2025,Opel,Astra,1.4 T Sport,2011.0,125.000 km,Düz,Benzin,Station wagon,Siyah,1364 cc,140 hp,Önden Çekiş,İkinci El,"5,9 lt",56 lt,"1 değişen, 7 boyalı",Takasa Uygun,Galeriden
301.000 TL,10 Aralık 2025,Dacia,Logan,1.5 dCi Ambiance,2008.0,228.000 km,Düz,Dizel,Sedan,Gri,1461 cc,65 hp,Önden Çekiş,İkinci El,"5,1 lt",50 lt,"3 değişen, 9 boyalı",Takasa Uygun Değil,Sahibinden
255.000 TL,09 Aralık 2025,Renault,Clio,1.4 RXT,2001.0,298.000 km,Düz,LPG & Benzin,Hatchback/5,Lacivert,1390 cc,98 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,Belirtilmemiş,,Sahibinden
80.000 TL,10 Aralık 2025,Renault,R 12,SW,1977.0,100.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1300 cc,60 hp,Önden Çekiş,İkinci El,,,Belirtilmemiş,,Sahibinden
395.000 TL,30 Kasım 2025,Ford,Focus,1.6 Ambiente,2001.0,218.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1596 cc,100 hp,Önden Çekiş,İkinci El,"6,9 lt",55 lt,7 boyalı,Takasa Uygun Değil,Galeriden
1.109.000 TL,02 Aralık 2025,Volkswagen,Polo,1.2 TSi Lounge,2016.0,88.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1197 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",45 lt,1 boyalı,Takasa Uygun,Galeriden
265.000 TL,03 Aralık 2025,Opel,Astra,1.6 GLS,1997.0,206.000 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1598 cc,100 hp,Önden Çekiş,İkinci El,,52 lt,11 boyalı,Takasa Uygun,Galeriden
336.500 TL,07 Aralık 2025,Opel,Corsa,1.3 CDTI Essentia,2009.0,245.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1248 cc,75 hp,Önden Çekiş,İkinci El,"4,6 lt",45 lt,"3 değişen, 4 boyalı",Takasa Uygun,Galeriden
530.000 TL,10 Aralık 2025,Fiat,Linea,1.3 Multijet Active Plus,2015.0,162.700 km,Düz,Dizel,Sedan,Gri,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,"1 değişen, 3 boyalı",,Sahibinden
2.250.000 TL,09 Aralık 2025,Mini,Cooper,1.5 Iconic,2023.0,27.000 km,Otomatik,Benzin,Hatchback/3,Kırmızı,1499 cc,136 hp,Önden Çekiş,İkinci El,"5,6 lt",40 lt,Tamamı orjinal,,Sahibinden
1.195.000 TL,02 Aralık 2025,Citroen,C3,1.2 PureTech Elle,2023.0,34.500 km,Otomatik,Benzin,Hatchback/5,Bej,1199 cc,112 hp,Önden Çekiş,İkinci El,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden
1.460.000 TL,03 Aralık 2025,Renault,Megane,1.3 TCe Touch,2024.0,74.000 km,Yarı Otomatik,Benzin,Sedan,Gri,1332 cc,140 hp,Önden Çekiş,İkinci El,"5,3 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden
175.000 TL,10 Aralık 2025,Tofaş,Doğan,SLX,1996.0,200.000 km,Düz,LPG & Benzin,Sedan,Turuncu,1581 cc,83 hp,Arkadan İtiş,İkinci El,,50 lt,Belirtilmemiş,,Sahibinden
825.000 TL,25 Kasım 2025,Nissan,Micra,1.2 Match,2016.0,73.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1198 cc,80 hp,Önden Çekiş,İkinci El,"5,4 lt",41 lt,"2 değişen, 2 boyalı",,Sahibinden
1.288.000 TL,03 Aralık 2025,Toyota,Corolla,1.8 Hybrid Dream,2022.0,155.555 km,Otomatik,Hibrit,Sedan,Mavi (metalik),1798 cc,98 hp,Önden Çekiş,İkinci El,"3,5 lt",43 lt,3 boyalı,,Sahibinden
1.735.000 TL,10 Aralık 2025,Honda,Civic,1.6 i-VTEC Eco Executive,2020.0,53.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,125 hp,Önden Çekiş,İkinci El,"6,3 lt",46 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
565.000 TL,10 Aralık 2025,Volkswagen,Passat,2.0 TDi Comfortline,2006.0,361.000 km,Yarı Otomatik,Dizel,Sedan,Mavi,1968 cc,140 hp,Önden Çekiş,İkinci El,"6,4 lt",70 lt,Belirtilmemiş,,Sahibinden
1.299.900 TL,05 Aralık 2025,Toyota,Corolla,1.8 Hybrid Dream,2021.0,139.500 km,Otomatik,Hibrit,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,İkinci El,"3,5 lt",43 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden
455.000 TL,04 Aralık 2025,Ford,Mondeo,1.6 Trend,2008.0,355.000 km,Düz,LPG & Benzin,Sedan,Gri,1596 cc,125 hp,Önden Çekiş,İkinci El,"7,4 lt",70 lt,12 boyalı,Takasa Uygun,Galeriden
1.390.000 TL,10 Aralık 2025,Ford,Focus,1.5 TDCi Titanium,2020.0,138.000 km,Otomatik,Dizel,Sedan,Mavi,1500 cc,120 hp,Önden Çekiş,İkinci El,"4,3 lt",47 lt,Belirtilmemiş,,Sahibinden
1.700.000 TL,09 Aralık 2025,Toyota,Corolla,1.5 Dream X-Pack,2023.0,20.000 km,Otomatik,Benzin,Sedan,Gri (metalik),1490 cc,125 hp,Önden Çekiş,İkinci El,"6,3 lt",50 lt,Tamamı orjinal,,Sahibinden
527.500 TL,09 Aralık 2025,Fiat,Linea,1.3 Multijet Pop,2014.0,221.500 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,Tamamı orjinal,,Sahibinden
828.000 TL,09 Aralık 2025,Opel,Astra,1.6 Edition Plus,2016.0,93.000 km,Düz,LPG & Benzin,Sedan,Gri,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,5 lt",56 lt,4 boyalı,Takasa Uygun,Galeriden
710.000 TL,04 Aralık 2025,Ford,Focus,1.6 TDCi Trend X,2013.0,231.000 km,Düz,Dizel,Sedan,Siyah,1560 cc,95 hp,Önden Çekiş,İkinci El,"4,2 lt",53 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden
1.349.000 TL,09 Aralık 2025,BMW,3 Serisi,318i M Joy,2015.0,194.000 km,Otomatik,Benzin,Sedan,Mavi,1401 - 1600 cm3,126 - 150 HP,Arkadan İtiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden
270.000 TL,09 Aralık 2025,Renault,Symbol,1.5 dCi Expression,2011.0,223.000 km,Düz,Dizel,Sedan,Gri,1461 cc,65 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,"3 değişen, 3 boyalı",,Sahibinden
870.000 TL,10 Aralık 2025,Volkswagen,Passat,1.6 TDi Comfortline,2013.0,270.000 km,Otomatik,Dizel,Sedan,Siyah,,,,İkinci El,,,"1 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden
429.750 TL,06 Aralık 2025,Peugeot,207,1.4 HDi Trendy,2007.0,207.900 km,Düz,Dizel,Hatchback/5,Kırmızı,1398 cc,71 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden
570.000 TL,04 Aralık 2025,Hyundai,i10,1.1 Select,2009.0,60.850 km,Düz,Benzin,Hatchback/5,Kırmızı,1086 cc,66 hp,Önden Çekiş,İkinci El,"5,5 lt",35 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
725.000 TL,10 Aralık 2025,Ford,Focus,1.6 TDCi Titanium X,2012.0,293.000 km,Düz,Dizel,Hatchback/5,Gri (titanyum),1560 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",53 lt,12 boyalı,,Sahibinden
899.900 TL,28 Kasım 2025,Toyota,Yaris,1.0 Vision,2021.0,33.000 km,Düz,Benzin,Hatchback/5,Gri,998 cc,72 hp,Önden Çekiş,İkinci El,"4,5 lt",42 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden
1.669.900 TL,05 Aralık 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2019.0,128.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,66 lt,5 boyalı,Takasa Uygun,Galeriden
895.000 TL,08 Aralık 2025,Fiat,Egea,1.4 Fire Urban,2022.0,75.000 km,Düz,Benzin,Sedan,Gri,1368 cc,95 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden
690.000 TL,09 Aralık 2025,Renault,Megane,1.5 dCi Joy,2013.0,194.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,2 boyalı,Takasa Uygun Değil,Sahibinden
367.000 TL,29 Kasım 2025,Renault,Clio,1.6 RTE,2000.0,154.500 km,Otomatik,LPG & Benzin,Hatchback/5,Gri,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"2 değişen, 9 boyalı",Takasa Uygun,Galeriden
580.000 TL,10 Aralık 2025,Renault,Megane,1.5 dCi Exception,2009.0,198.600 km,Düz,Dizel,Sedan,Gri,1461 cc,105 hp,Önden Çekiş,İkinci El,"4,7 lt",60 lt,1 değişen,Takasa Uygun Değil,Sahibinden
1.115.000 TL,10 Aralık 2025,Hyundai,i20,1.4 MPI Elite,2015.0,49.500 km,Otomatik,Benzin,Hatchback/5,Gri,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,2 boyalı,Takasa Uygun Değil,Sahibinden
500.000 TL,09 Aralık 2025,Mercedes - Benz,E,320 Elegance,1997.0,370.000 km,Otomatik,LPG & Benzin,Sedan,Yeşil (metalik),3199 cc,220 hp,Arkadan İtiş,İkinci El,"11,9 lt",80 lt,12 boyalı,Takasa Uygun,Sahibinden
775.000 TL,09 Aralık 2025,Renault,Fluence,1.5 dCi Icon,2013.0,199.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Belirtilmemiş,,Sahibinden
1.650.000 TL,09 Aralık 2025,BMW,5 Serisi,520i Comfort,2014.0,169.500 km,Otomatik,Benzin,Sedan,Kahverengi,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
2.250.000 TL,06 Aralık 2025,Honda,Civic,1.5 i-VTEC Eco Elegance Plus,2024.0,11.600 km,Otomatik,LPG & Benzin,Sedan,Siyah,1498 cc,129 hp,Önden Çekiş,İkinci El,"6,5 lt",47 lt,1 boyalı,Takasa Uygun,Sahibinden
620.000 TL,09 Aralık 2025,Opel,Astra,1.6 Enjoy Plus,2012.0,128.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,115 hp,Önden Çekiş,İkinci El,"6,8 lt",52 lt,"2 değişen, 2 boyalı",,Sahibinden
760.000 TL,01 Aralık 2025,Renault,Clio,0.9 TCe Joy,2020.0,47.000 km,Düz,Benzin,Hatchback/5,Beyaz,898 cc,90 hp,Önden Çekiş,İkinci El,5 lt,45 lt,3 boyalı,Takasa Uygun,Galeriden
860.000 TL,09 Aralık 2025,Fiat,Egea,1.4 Fire Easy Plus,2022.0,44.500 km,Düz,LPG & Benzin,Sedan,Füme,1368 cc,95 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
1.237.000 TL,06 Aralık 2025,Toyota,Corolla,1.8 Hybrid Dream,2020.0,120.000 km,Otomatik,Hibrit,Sedan,Gri (Gümüş),1798 cc,98 hp,Önden Çekiş,İkinci El,"3,5 lt",43 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden
655.000 TL,01 Aralık 2025,Opel,Astra,1.6 Cosmo,2010.0,285.000 km,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,4 boyalı,Takasa Uygun,Galeriden
1.220.000 TL,04 Aralık 2025,Volkswagen,Jetta,1.6 TDi Comfortline,2014.0,69.000 km,Düz,Dizel,Sedan,Füme,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
135.000 TL,08 Aralık 2025,Renault,Clio,1.4 RTA,1999.0,245.000 km,Düz,Benzin,Hatchback/5,Beyaz,1390 cc,75 hp,Önden Çekiş,İkinci El,"6,8 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden
820.000 TL,10 Aralık 2025,Ford,Focus,1.6 TDCi Trend X,2014.0,194.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",53 lt,Belirtilmemiş,,Sahibinden
690.000 TL,10 Aralık 2025,Honda,Jazz,1.4 Joy,2009.0,206.000 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1339 cc,100 hp,Önden Çekiş,İkinci El,"5,4 lt",42 lt,2 boyalı,,Sahibinden
749.000 TL,08 Aralık 2025,Honda,Civic,1.6 i-VTEC Premium,2009.0,250.000 km,Otomatik,LPG & Benzin,Sedan,Gri,1595 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden
460.000 TL,07 Aralık 2025,Renault,Clio,1.5 dCi Joy,2014.0,410.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,75 hp,Önden Çekiş,İkinci El,"3,6 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden
700.000 TL,09 Aralık 2025,Opel,Astra,1.3 CDTI Cosmo,2013.0,255.000 km,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",56 lt,Tamamı orjinal,,Sahibinden
415.000 TL,10 Aralık 2025,Volkswagen,Bora,1.6 Trendline,2000.0,277.834 km,Düz,LPG & Benzin,Sedan,Gri,1595 cc,105 hp,Önden Çekiş,İkinci El,"6,9 lt",55 lt,2 boyalı,Takasa Uygun Değil,Sahibinden
1.425.000 TL,02 Aralık 2025,Renault,Clio,1.0 TCe Evolution,2025.0,6.044 km,Otomatik,Benzin,Hatchback/5,Gri,999 cc,90 hp,Önden Çekiş,İkinci El,6 lt,42 lt,Tamamı orjinal,Takasa Uygun,Galeriden
1.095.000 TL,04 Aralık 2025,Renault,Clio,1.0 TCe Joy,2021.0,48.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,999 cc,90 hp,Önden Çekiş,İkinci El,5 lt,42 lt,Tamamı orjinal,Takasa Uygun,Galeriden
1.090.000 TL,04 Aralık 2025,Toyota,Yaris,1.33 Fun Special Skypack,2016.0,129.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
880.000 TL,09 Aralık 2025,Volkswagen,Jetta,1.6 TDi Trendline,2015.0,283.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"4,7 lt",55 lt,"1 değişen, 2 boyalı",,Sahibinden
1.259.000 TL,01 Aralık 2025,Toyota,Corolla,1.6 Advance,2018.0,116.500 km,Otomatik,Benzin,Sedan,Gri,1598 cc,132 hp,Önden Çekiş,İkinci El,"6,1 lt",55 lt,1 değişen,Takasa Uygun,Galeriden
710.000 TL,10 Aralık 2025,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017.0,212.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1582 cc,136 hp,Önden Çekiş,İkinci El,"4,6 lt",43 lt,"1 değişen, 6 boyalı",,Sahibinden
2.535.000 TL,08 Aralık 2025,Volkswagen,Passat,1.5 TSi Elegance,2021.0,73.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1498 cc,150 hp,Önden Çekiş,İkinci El,"5,3 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden
1.129.999 TL,06 Aralık 2025,Toyota,Corolla,1.6 Premium,2013.0,225.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden
1.520.000 TL,09 Aralık 2025,Honda,Civic,1.6 i-VTEC Eco Executive,2018.0,120.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",47 lt,Tamamı orjinal,Takasa Uygun,Galeriden
650.000 TL,10 Aralık 2025,Seat,Leon,1.6 TDI CR Style,2012.0,285.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"4,7 lt",55 lt,2 değişen,Takasa Uygun Değil,Sahibinden
418.000 TL,02 Aralık 2025,Toyota,Corolla,1.4 D-4D Sol,2006.0,270.000 km,Düz,Dizel,Sedan,Gri,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"1 değişen, 12 boyalı",Takasa Uygun,Galeriden
1.189.000 TL,05 Aralık 2025,Seat,Leon,1.6 TDI Style,2017.0,110.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,4 boyalı,Takasa Uygun,Galeriden
1.055.000 TL,08 Aralık 2025,Fiat,Egea,1.6 Multijet Urban Plus,2020.0,62.750 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden
969.000 TL,28 Kasım 2025,Renault,Clio,1.0 TCe Touch,2021.0,110.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,"1 değişen, 5 boyalı",Takasa Uygun,Galeriden
1.382.000 TL,09 Aralık 2025,Citroen,e-C4 X,Shine Bold,2024.0,38.200 km,Otomatik,Elektrik,SUV,Füme,,136 hp,Önden Çekiş,İkinci El,,,Tamamı orjinal,,Sahibinden
1.020.000 TL,03 Aralık 2025,Volkswagen,Golf,1.6 TDi Highline,2015.0,157.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,101 - 125 HP,Önden Çekiş,İkinci El,"4,7 lt",55 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Galeriden
785.000 TL,06 Aralık 2025,Fiat,Egea,1.4 Fire Easy,2021.0,61.300 km,Düz,Benzin,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
625.000 TL,28 Kasım 2025,BMW,3 Serisi,316i Premium,2006.0,393.000 km,Düz,LPG & Benzin,Sedan,Füme,1401 - 1600 cm3,126 - 150 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
1.665.000 TL,04 Aralık 2025,Renault,Megane,1.3 TCe Touch,2024.0,6.001 km,Yarı Otomatik,Benzin,Sedan,Gri,1332 cc,140 hp,Önden Çekiş,İkinci El,"5,3 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden
895.000 TL,09 Aralık 2025,BMW,3 Serisi,320d M Sport,2010.0,365.000 km,Otomatik,Dizel,Sedan,Beyaz,1995 cc,177 hp,Arkadan İtiş,İkinci El,"4,8 lt",60 lt,Belirtilmemiş,,Sahibinden
900.000 TL,09 Aralık 2025,Renault,Megane,1.6 Joy,2018.0,186.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,3 lt",49 lt,"1 değişen, 2 boyalı",,Sahibinden
1.789.000 TL,29 Kasım 2025,Toyota,Corolla,1.8 Hybrid Dream,2025.0,12.130 km,Otomatik,Hibrit,Sedan,Gri,1601 - 1800 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden
892.000 TL,09 Aralık 2025,Skoda,SuperB,1.6 TDI Elegance,2012.0,255.000 km,Düz,Dizel,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,İkinci El,5 lt,60 lt,Tamamı orjinal,,Sahibinden
520.000 TL,01 Aralık 2025,Toyota,Corolla,1.4 Terra,2003.0,255.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden
1.420.000 TL,08 Aralık 2025,Opel,Astra,1.5 D Edition,2023.0,44.200 km,Otomatik,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Galeriden
1.565.000 TL,14 Ekim 2025,Renault,Megane,1.3 TCe Touch,2023.0,22.000 km,Otomatik,Benzin,Sedan,Gri (titanyum),1201 - 1400 cm3,,,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
1.120.000 TL,05 Aralık 2025,Volkswagen,Golf,1.2 TSi Midline Plus,2012.0,134.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
1.170.000 TL,09 Aralık 2025,Hyundai,i30,1.6 CRDi Elite,2015.0,170.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1582 cc,128 hp,Önden Çekiş,İkinci El,"5,5 lt",53 lt,Belirtilmemiş,,Sahibinden
1.250.000 TL,08 Aralık 2025,Honda,Civic,1.6 i-VTEC Eco Executive,2017.0,112.200 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",47 lt,"2 değişen, 4 boyalı",Takasa Uygun,Sahibinden
1.295.000 TL,06 Aralık 2025,Honda,Civic,1.6 i-DTEC Elegance,2020.0,207.000 km,Otomatik,Dizel,Sedan,Beyaz,1597 cc,120 hp,Önden Çekiş,İkinci El,"4,1 lt",46 lt,3 boyalı,Takasa Uygun,Galeriden
290.000 TL,10 Aralık 2025,Peugeot,307,1.4 HDi XR,2004.0,282.650 km,Düz,Dizel,Hatchback/5,Gri,1398 cc,69 hp,Önden Çekiş,İkinci El,"4,5 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
315.000 TL,08 Aralık 2025,Renault,Scenic,1.6 Privilege,2003.0,220.850 km,Otomatik,LPG & Benzin,MPV,Yeşil,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden
390.000 TL,09 Aralık 2025,Opel,Astra,1.6 Elegance,2001.0,315.000 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1598 cc,100 hp,Önden Çekiş,İkinci El,"7,1 lt",52 lt,12 boyalı,,Sahibinden
1.230.000 TL,04 Aralık 2025,Volvo,V40 Cross Country,1.6 D Premium,2014.0,197.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1560 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",52 lt,Tamamı orjinal,,Sahibinden
318.000 TL,08 Aralık 2025,Renault,Scenic,1.6 RXT,2000.0,355.000 km,Düz,LPG & Benzin,MPV,Gri,1598 cc,107 hp,Önden Çekiş,İkinci El,"7,3 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden
285.000 TL,09 Aralık 2025,Opel,Vectra,1.6 Comfort,2004.0,315.000 km,Düz,Benzin,Sedan,Gri,1598 cc,100 hp,Önden Çekiş,İkinci El,"7,5 lt",61 lt,"3 değişen, 9 boyalı",,Sahibinden
1.100.000 TL,09 Aralık 2025,Opel,Corsa,1.4 Enjoy,2017.0,19.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1398 cc,90 hp,Önden Çekiş,İkinci El,6 lt,45 lt,Tamamı orjinal,,Sahibinden
1.169.900 TL,03 Aralık 2025,Audi,A3,A3 Sportback 1.6 TDI Ambiente,2013.0,177.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,6 boyalı,Takasa Uygun,Galeriden
760.000 TL,02 Aralık 2025,Skoda,Octavia,1.6 TDI Ambition,2015.0,291.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden
815.000 TL,07 Aralık 2025,Opel,Corsa,1.2 Twinport Essentia,2012.0,7.200 km,Düz,Benzin,Hatchback/5,Siyah,1229 cc,85 hp,Önden Çekiş,İkinci El,"5,3 lt",45 lt,4 boyalı,Takasa Uygun Değil,Galeriden
195.000 TL,09 Aralık 2025,Skoda,Felicia,1.9 D GLX,2000.0,277.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1201 - 1400 cm3,51 - 75 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Sahibinden
1.120.000 TL,09 Aralık 2025,Hyundai,i20,1.4 MPI Elite Smart,2016.0,148.000 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,1 değişen,,Sahibinden
685.000 TL,04 Aralık 2025,Opel,Astra,1.3 CDTI Essentia Konfor,2012.0,218.000 km,Düz,Dizel,Hatchback/5,Siyah,1248 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",52 lt,Tamamı orjinal,Takasa Uygun,Galeriden
